month,airline,delay,carrierd,extrmwd,nasd,securityd,latarrd,temperature,humidity,visibility,wind_s,hour_c
Nov,Delta Air Lines,7,0,0,0,0,0,41,76,10,6,morning
Nov,Delta Air Lines,21,0,0,0,0,0,41,76,10,6,morning
Nov,Republic Airways,8,0,8,21,0,0,41,76,10,6,morning
Nov,American Airlines,1,0,0,0,0,0,44,68,10,9,morning
Nov,Delta Air Lines,1,0,0,0,0,0,44,68,10,9,morning
Nov,American Airlines,21,21,0,0,0,0,44,68,10,9,morning
Nov,Delta Air Lines,6,0,0,0,0,0,44,68,10,9,morning
Nov,American Airlines,2,0,0,0,0,0,47,61,10,9,noon
Nov,JetBlue Airways,9,0,0,0,0,0,47,61,10,9,noon
Nov,Republic Airways,5,0,0,0,0,0,47,61,10,9,noon
Nov,American Airlines,23,17,0,0,0,0,47,61,10,9,noon
Nov,American Airlines,3,0,0,20,0,0,47,61,10,9,noon
Nov,Endeavor Air,16,0,0,0,0,0,51,38,10,14,noon
Nov,Delta Air Lines,18,0,0,0,0,0,51,38,10,14,noon
Nov,Delta Air Lines,7,0,0,0,0,0,52,35,10,13,noon
Nov,JetBlue Airways,13,0,0,0,0,0,52,35,10,13,noon
Nov,American Airlines,3,0,0,0,0,0,52,35,10,13,noon
Nov,Alaska Airlines,20,0,0,0,0,0,52,35,10,13,noon
Nov,Delta Air Lines,3,0,0,0,0,0,52,35,10,13,noon
Nov,JetBlue Airways,2,0,0,0,0,0,52,34,10,11,noon
Nov,Republic Airways,1,0,0,0,0,0,52,34,10,11,noon
Nov,Endeavor Air,31,27,0,0,0,0,52,34,10,11,noon
Nov,JetBlue Airways,86,75,0,0,0,0,52,34,10,11,noon
Nov,JetBlue Airways,20,20,0,5,0,0,53,34,10,10,noon
Nov,JetBlue Airways,29,29,0,1,0,0,53,34,10,10,noon
Nov,JetBlue Airways,13,0,0,0,0,0,53,34,10,10,noon
Nov,JetBlue Airways,10,0,0,0,0,0,53,34,10,10,noon
Nov,JetBlue Airways,16,7,0,14,0,9,53,34,10,9,afternoon
Nov,JetBlue Airways,46,38,0,2,0,8,53,34,10,9,afternoon
Nov,JetBlue Airways,4,0,0,0,0,0,53,34,10,9,afternoon
Nov,Republic Airways,51,42,0,0,0,0,53,34,10,9,afternoon
Nov,JetBlue Airways,5,0,0,0,0,0,53,34,10,9,afternoon
Nov,American Airlines,34,9,0,4,0,25,53,34,10,9,afternoon
Nov,Delta Air Lines,416,399,0,0,0,0,52,37,10,9,afternoon
Nov,JetBlue Airways,15,0,0,0,0,0,52,37,10,9,afternoon
Nov,JetBlue Airways,7,0,0,0,0,0,52,37,10,9,afternoon
Nov,Republic Airways,19,0,0,0,0,0,52,37,10,9,afternoon
Nov,Republic Airways,39,34,0,0,0,0,52,37,10,9,afternoon
Nov,Republic Airways,18,0,0,0,0,0,52,37,10,9,afternoon
Nov,JetBlue Airways,25,0,0,0,0,0,52,37,10,9,afternoon
Nov,JetBlue Airways,22,19,0,0,0,0,52,37,10,9,afternoon
Nov,Republic Airways,96,79,0,0,0,0,52,37,10,9,afternoon
Nov,Delta Air Lines,2,0,0,0,0,0,52,37,10,9,afternoon
Nov,Delta Air Lines,11,0,0,0,0,0,52,37,10,9,afternoon
Nov,JetBlue Airways,53,34,0,0,0,0,48,41,10,6,afternoon
Nov,American Airlines,21,21,0,1,0,0,48,41,10,6,afternoon
Nov,Delta Air Lines,38,0,0,0,0,0,48,41,10,6,afternoon
Nov,American Airlines,5,5,0,33,0,0,48,41,10,6,afternoon
Nov,JetBlue Airways,217,80,0,10,137,0,48,41,10,6,afternoon
Nov,Delta Air Lines,86,59,0,0,0,0,48,41,10,6,afternoon
Nov,Alaska Airlines,9,0,0,0,0,0,48,41,10,6,afternoon
Nov,JetBlue Airways,47,33,0,0,0,0,49,39,10,3,afternoon
Nov,Endeavor Air,49,0,0,0,0,0,49,39,10,3,afternoon
Nov,Republic Airways,2,0,0,0,0,0,49,39,10,3,afternoon
Nov,Delta Air Lines,7,0,0,0,0,0,49,39,10,3,afternoon
Nov,Republic Airways,113,113,0,6,0,0,49,39,10,3,afternoon
Nov,American Airlines,18,0,0,0,0,0,49,39,10,3,afternoon
Nov,Delta Air Lines,21,0,0,0,0,0,49,39,10,3,afternoon
Nov,JetBlue Airways,13,13,0,8,0,0,49,39,10,3,afternoon
Nov,JetBlue Airways,13,0,0,0,0,0,47,44,10,0,night
Nov,JetBlue Airways,32,20,0,0,0,0,47,44,10,0,night
Nov,Delta Air Lines,4,0,0,0,0,0,47,44,10,0,night
Nov,Republic Airways,43,21,0,0,0,0,47,44,10,0,night
Nov,Delta Air Lines,17,0,0,0,0,0,47,44,10,0,night
Nov,American Airlines,4,0,0,0,0,0,47,44,10,0,night
Nov,JetBlue Airways,20,0,0,0,0,0,45,52,10,5,night
Nov,JetBlue Airways,5,5,0,10,0,0,45,52,10,5,night
Nov,Delta Air Lines,4,0,0,0,0,0,45,52,10,5,night
Nov,Delta Air Lines,17,17,0,0,0,0,45,52,10,5,night
Nov,Delta Air Lines,1,0,0,0,0,0,45,52,10,5,night
Nov,Republic Airways,3,0,0,14,0,3,45,52,10,5,night
Nov,Delta Air Lines,6,0,0,0,0,0,45,52,10,5,night
Nov,Delta Air Lines,16,0,0,0,0,0,45,52,10,5,night
Nov,Republic Airways,179,148,0,0,0,0,45,52,10,5,night
Nov,JetBlue Airways,18,0,0,0,0,0,45,52,10,5,night
