carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
B6,2021-12-30T05:00:00Z,12,30,2021,0084,N958JB,MCO,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0105,N317JB,ORD,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0116,N216JB,SYR,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0234,N238JB,BTV,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0383,N337JB,MCO,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0453,N768JB,PBI,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0486,N309JB,ROC,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0518,N236JB,BOS,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0523,N2142J,LAX,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0553,N621JB,PBI,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0617,N216JB,MSP,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0725,N586JB,SAT,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0776,N337JB,ORH,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0795,N621JB,AUS,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0803,N570JB,SJU,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0839,N2060J,BQN,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0841,N179JB,SAV,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0915,N964JT,SFO,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0919,N179JB,ATL,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,1019,N346JB,DTW,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,1073,N238JB,BNA,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,1849,N636JB,PSP,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,2029,N509JB,RSW,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,2155,N238JB,EYW,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,2402,N284JB,BUF,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,2473,N309JB,CHS,JetBlue Airways
DL,2021-12-30T05:00:00Z,12,30,2021,0338,N624AG,SAN,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,0343,N192DN,SFO,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,0354,N184DN,SLC,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,0452,N722TW,SEA,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,1406,N394DA,TPA,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,2265,N858DZ,RSW,Delta Air Lines
DL,2021-12-30T05:00:00Z,12,30,2021,2422,N327DN,MCO,Delta Air Lines
UA,2021-12-30T05:00:00Z,12,30,2021,0515,NA,LAX,United Air Lines
AA,2021-12-31T05:00:00Z,12,31,2021,2369,N993NN,PHX,American Airlines
B6,2021-12-31T05:00:00Z,12,31,2021,0053,N768JB,PBI,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0065,N779JB,ABQ,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0089,N944JT,SAN,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0295,N646JB,AUS,JetBlue Airways
