airline_name,date,month,day,year,flight_number,destination_airport,scheduled_hour,scheduled_departure_time,scheduled_elapsed_time_minutes
JetBlue Airways,2022-01-01,1,1,2022,1483,MCO,13,13:00,178
JetBlue Airways,2022-01-01,1,1,2022,2155,EYW,07,07:40,217
JetBlue Airways,2022-01-01,1,1,2022,2402,BUF,17,17:20,89
Delta Air Lines,2022-01-01,1,1,2022,0343,SFO,08,08:22,416
Delta Air Lines,2022-01-01,1,1,2022,0350,SAN,08,08:30,387
Delta Air Lines,2022-01-01,1,1,2022,0351,LAX,10,10:30,380
Delta Air Lines,2022-01-01,1,1,2022,0353,LAX,19,19:15,388
Delta Air Lines,2022-01-01,1,1,2022,0371,LAS,08,08:05,363
Delta Air Lines,2022-01-01,1,1,2022,0522,SEA,07,07:10,391
Delta Air Lines,2022-01-01,1,1,2022,0675,BOS,15,15:40,85
Delta Air Lines,2022-01-01,1,1,2022,0863,ATL,08,08:25,167
Delta Air Lines,2022-01-01,1,1,2022,1077,DEN,19,19:59,288
Delta Air Lines,2022-01-01,1,1,2022,1272,FLL,07,07:10,192
Delta Air Lines,2022-01-01,1,1,2022,2090,TPA,18,18:25,192
Delta Air Lines,2022-01-01,1,1,2022,2219,MIA,07,07:15,191
Delta Air Lines,2022-01-01,1,1,2022,2265,RSW,08,08:37,211
Delta Air Lines,2022-01-01,1,1,2022,2422,MCO,07,07:05,183
Delta Air Lines,2022-01-01,1,1,2022,2994,PBI,08,08:55,188
United Air Lines,2022-01-01,1,1,2022,0521,SFO,08,08:00,392
Republic Airways,2022-01-01,1,1,2022,5607,ORD,15,15:25,173
Republic Airways,2022-01-01,1,1,2022,5608,ORD,19,19:45,181
Republic Airways,2022-01-01,1,1,2022,5809,ORD,08,08:20,176
Endeavor Air,2022-01-02,1,2,2022,4778,IAD,20,20:59,92
Endeavor Air,2022-01-02,1,2,2022,4865,ROC,15,15:10,99
Endeavor Air,2022-01-02,1,2,2022,4981,BWI,14,14:55,78
Endeavor Air,2022-01-02,1,2,2022,5020,RIC,08,08:30,102
Endeavor Air,2022-01-02,1,2,2022,5053,PIT,08,08:00,111
Endeavor Air,2022-01-02,1,2,2022,5153,SAV,08,08:50,153
Endeavor Air,2022-01-02,1,2,2022,5241,CHS,15,15:05,140
American Airlines,2022-01-02,1,2,2022,2234,DFW,08,08:05,263
American Airlines,2022-01-02,1,2,2022,2369,PHX,06,06:30,360
American Airlines,2022-01-02,1,2,2022,2819,ORD,07,07:50,172
Alaska Airlines,2022-01-02,1,2,2022,0035,PDX,20,20:05,398
JetBlue Airways,2022-01-02,1,2,2022,0102,BUF,21,21:35,94
JetBlue Airways,2022-01-02,1,2,2022,0234,BTV,22,22:00,76
JetBlue Airways,2022-01-02,1,2,2022,0293,SJU,12,12:30,230
JetBlue Airways,2022-01-02,1,2,2022,0383,MCO,14,14:16,182
JetBlue Airways,2022-01-02,1,2,2022,0453,PBI,09,09:20,186
JetBlue Airways,2022-01-02,1,2,2022,0518,BOS,06,06:59,69
